manufacturing_uid,city,asset_id,asset_name,asset_type,line,package_id,phase,sequence,work_center,duration_days,duration_model,quantity_basis,resource_count,planned_start_day,planned_finish_day,planned_start_basis,planned_finish_basis,predecessors,predecessor_uids,external_predecessors,work_order_title,work_order_detail,staff_roles,staff_tasks,materials_or_inputs,bom_refs,material_count,material_status,deliverables,evidence_required,release_authority,qa_gate_hint,qa_uid,verification_uid,verification_status,blocks_successors,status,priority,qa_hold_point
mosul:MOS-SW-014:sw-10-turnout-build,mosul,MOS-SW-014,sw-line-1-0120-0123-s034548-yd-12,switch,line-1,sw-10-turnout-build,track-civil,10,track/switch crew,5,fixed-days,template fixed duration = 5 day(s),,83,87,project_day_83,project_day_87,sys-00-baseline-freeze,mosul:MOS-SYS-001:sys-00-baseline-freeze,,"Switch kit build, actuator, and bench proof","Assemble turnout kit, actuator, detection, hand-crank provision, wiring, and bench proof before installation.",switch technician; track supervisor; quality technician,Assemble switch; install actuator; bench proof detection; record blade throw and torque.,"turnout kit, actuator, detection sensors, wiring kit",project_kit:switch:turnout-kit; project_kit:switch:actuator; project_kit:switch:detection-sensors; project_kit:switch:wiring-kit,4,required,bench-accepted switch kit ready for site,"bench proof record, actuator serial, detection test",track QA lead,qa-22-trackform-rail,mosul:MOS-SW-014:qa-22-trackform-rail,mosul:MOS-SW-014:sw-10-turnout-build:VERIFY,required,yes,planned,safety,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing."
mosul:MOS-TRK-L2-003:trk-10-survey-utility,mosul,MOS-TRK-L2-003,line-2 section 003,track-section,line-2,trk-10-survey-utility,track-civil,10,corridor civil crew,2,route-metres,ceil(1269.0 route m / (1000 m/day x 1 resources)),1,96,97,project_day_96,project_day_97,sys-00-baseline-freeze,mosul:MOS-SYS-001:sys-00-baseline-freeze,,"Track section survey, permits, utilities, and access release","Confirm alignment, utility clashes, drainage path, traffic/access plan, laydown, and safe-work boundary for the section.",survey lead; civil supervisor; permit coordinator; safety officer,Set out control; mark utilities; confirm access; brief crew; upload permits.,"route survey, utility maps, traffic plan, possession plan",project_kit:track-civil:survey-control; project_kit:track-civil:utility-clearance; project_kit:track-civil:site-access,3,required,released section ready for civils,"survey control sheet, utility clearance, permit pack",civil QA lead,qa-20-survey-geotech,mosul:MOS-TRK-L2-003:qa-20-survey-geotech,mosul:MOS-TRK-L2-003:trk-10-survey-utility:VERIFY,required,yes,planned,safety,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction."
mosul:MOS-WPT-L1-009:wpt-10-cabinet-bench,mosul,MOS-WPT-L1-009,line-1 waypoint 009,waypoint,line-1,wpt-10-cabinet-bench,wayside-systems,10,wayside bench,3,fixed-days,template fixed duration = 3 day(s),,83,85,project_day_83,project_day_85,sys-00-baseline-freeze,mosul:MOS-SYS-001:sys-00-baseline-freeze,,Waypoint/W-SBC cabinet build and bench test,"Assemble cabinet, SBC, power supply, radio, sensors interface, beacon readers, identity, firmware, and cybersecurity keys.",systems technician; software technician; quality technician,Build cabinet; load firmware; bind identity; run IO/radio bench test; record serials.,"W-SBC cabinet kit, radio kit, sensor interface, signed firmware, key register",project_kit:wayside:wsbc-cabinet; project_kit:wayside:radio-kit; project_kit:wayside:sensor-interface; project_kit:wayside:beacon-reader; project_kit:wayside:secure-element,5,required,bench-accepted waypoint cabinet,"serial register, firmware hash, IO test, radio test, key ceremony record",systems QA lead,qa-26-wayside-comms-safety,mosul:MOS-WPT-L1-009:qa-26-wayside-comms-safety,mosul:MOS-WPT-L1-009:wpt-10-cabinet-bench:VERIFY,required,yes,planned,safety,"Wayside hardware, comms resilience, switch control, intrusion verdicts, passenger systems, and cybersecurity accepted before trial running."
mosul:MOS-SIG-005:wpt-20-install-commission,mosul,MOS-SIG-005,station systems node line-1-0689-0861-s012094,signalling-comms,line-1,wpt-20-install-commission,wayside-systems,20,wayside systems crew,4,fixed-days,template fixed duration = 4 day(s),,134,137,project_day_134,project_day_137,"wpt-10-cabinet-bench,trk-30-trackform-rail",mosul:MOS-SIG-005:wpt-10-cabinet-bench; mosul:MOS-TRK-L1-004:trk-30-trackform-rail,,"Waypoint/W-SBC install, coverage, and proof test","Install the waypoint node, connect power/network/sensors, test radio coverage, prove section state messages, and release into integrated trial running.",systems supervisor; radio technician; software technician; quality technician,Mount cabinet; terminate cables; verify coverage; run section-state proof; close cyber checklist.,"bench-accepted cabinet, power feed, comms link, sensor kit, test script",project_kit:wayside:power-feed; project_kit:wayside:comms-link; project_kit:wayside:sensor-kit; project_kit:wayside:mounting-hardware,4,required,commissioned waypoint node ready for trial running,"coverage map, section-state proof, cyber checklist, commissioning certificate",systems QA lead,qa-26-wayside-comms-safety,mosul:MOS-SIG-005:qa-26-wayside-comms-safety,mosul:MOS-SIG-005:wpt-20-install-commission:VERIFY,required,yes,planned,safety,"Wayside hardware, comms resilience, switch control, intrusion verdicts, passenger systems, and cybersecurity accepted before trial running."
mosul:MOS-SW-012:sw-20-install-proof,mosul,MOS-SW-012,sw-line-1-0120-0123-s034548-yd-10,switch,line-1,sw-20-install-proof,track-civil,20,track/switch crew,4,fixed-days,template fixed duration = 4 day(s),,254,257,project_day_254,project_day_257,"sw-10-turnout-build,trk-30-trackform-rail",mosul:MOS-SW-012:sw-10-turnout-build; mosul:MOS-TRK-L1-010:trk-30-trackform-rail,,"Switch installation, geometry, detection, and route proof","Install switch, prove geometry, detection, hand operation, route locking interface, drainage, and safe return-to-track.",switch technician; survey technician; systems technician; quality technician,Install turnout; align geometry; prove detection; run route proof; upload as-built.,"bench-accepted switch kit, ballast/slab materials, cabling, test script",project_kit:switch:site-trackform; project_kit:switch:cabling; project_kit:switch:route-proof-kit; project_kit:switch:as-built-survey,4,required,commissioned switch ready for integrated trial,"geometry report, detection proof, route proof, as-built record",commissioning manager,qa-22-trackform-rail,mosul:MOS-SW-012:qa-22-trackform-rail,mosul:MOS-SW-012:sw-20-install-proof:VERIFY,required,yes,planned,safety,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing."
mosul:MOS-TRK-L1-010:trk-30-trackform-rail,mosul,MOS-TRK-L1-010,line-1 section 010,track-section,line-1,trk-30-trackform-rail,track-civil,30,track crew,23,route-metres,ceil(4493.0 route m / (200 m/day x 1 resources)),1,231,253,project_day_231,project_day_253,trk-20-subgrade-drainage,mosul:MOS-TRK-L1-010:trk-20-subgrade-drainage,,"Trackform, rail, fasteners, welds, and geometry","Slipform long open slab-track runs, use single-track ST6 panels only in declared constrained zones, then install rail, fasteners, welds, bonding, and final geometry.",track supervisor; rail welder; survey technician; quality technician,Lay trackform; install rail; weld and grind; measure geometry; close defects.,"machine-controlled formation, slipform concrete and curing system, constrained-zone ST6 panels, rail, fasteners, weld consumables, bonding kit",project_kit:track-civil:rail; project_kit:track-civil:fasteners; project_kit:track-civil:slab-or-sleeper; project_kit:track-civil:weld-consumables; project_kit:track-civil:bonding,5,required,track section ready for systems installation,"weld log, geometry report, fastener torque record, bonding test",track QA lead,qa-22-trackform-rail,mosul:MOS-TRK-L1-010:qa-22-trackform-rail,mosul:MOS-TRK-L1-010:trk-30-trackform-rail:VERIFY,required,yes,planned,safety,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing."
mosul:MOS-WPT-L1-007:wpt-20-install-commission,mosul,MOS-WPT-L1-007,line-1 waypoint 007,waypoint,line-1,wpt-20-install-commission,wayside-systems,20,wayside systems crew,4,fixed-days,template fixed duration = 4 day(s),,185,188,project_day_185,project_day_188,"wpt-10-cabinet-bench,trk-30-trackform-rail",mosul:MOS-WPT-L1-007:wpt-10-cabinet-bench; mosul:MOS-TRK-L1-007:trk-30-trackform-rail,,"Waypoint/W-SBC install, coverage, and proof test","Install the waypoint node, connect power/network/sensors, test radio coverage, prove section state messages, and release into integrated trial running.",systems supervisor; radio technician; software technician; quality technician,Mount cabinet; terminate cables; verify coverage; run section-state proof; close cyber checklist.,"bench-accepted cabinet, power feed, comms link, sensor kit, test script",project_kit:wayside:power-feed; project_kit:wayside:comms-link; project_kit:wayside:sensor-kit; project_kit:wayside:mounting-hardware,4,required,commissioned waypoint node ready for trial running,"coverage map, section-state proof, cyber checklist, commissioning certificate",systems QA lead,qa-26-wayside-comms-safety,mosul:MOS-WPT-L1-007:qa-26-wayside-comms-safety,mosul:MOS-WPT-L1-007:wpt-20-install-commission:VERIFY,required,yes,planned,safety,"Wayside hardware, comms resilience, switch control, intrusion verdicts, passenger systems, and cybersecurity accepted before trial running."
mosul:MOS-EN-014:en-10-energy-build,mosul,MOS-EN-014,energy site at line-2-0690-0865-s011698,energy,line-2,en-10-energy-build,energy,10,energy crew,10,fixed-days,template fixed duration = 10 day(s),,85,94,project_day_85,project_day_94,sys-00-baseline-freeze,mosul:MOS-SYS-001:sys-00-baseline-freeze,,"PV, BESS, charger, switchgear, and earthing build","Install PV/BESS/charger equipment, protection, earthing, fire safety, and grid/PPA interface at the site.",electrical supervisor; PV technician; battery technician; quality technician,Install equipment; terminate protection; test earthing; inspect fire safety; record serials.,"PV kit, BESS kit, charger, switchgear, protection relays, earthing materials",project_kit:energy:pv-kit; project_kit:energy:bess-kit; project_kit:energy:charger; project_kit:energy:switchgear; project_kit:energy:protection-relays; project_kit:energy:earthing,6,required,energy site ready for commissioning,"earthing test, protection settings, equipment serials, fire-safety inspection",energy QA lead,qa-25-power-energy,mosul:MOS-EN-014:qa-25-power-energy,mosul:MOS-EN-014:en-10-energy-build:VERIFY,required,yes,planned,safety,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging."
mosul:MOS-RS-L1-003:rs-10-material-kit,mosul,MOS-RS-L1-003,line-1 trainset 003,rolling-stock,line-1,rs-10-material-kit,rolling-stock,10,rolling stock plant,3,fixed-days,template fixed duration = 3 day(s),,85,87,project_day_85,project_day_87,sys-00-baseline-freeze,mosul:MOS-SYS-001:sys-00-baseline-freeze,,Trainset material kit and production traveller,"Create the trainset production traveller, allocate BOM kit, verify cell, motor, inverter, brake, door, HVAC, interior, and fastener traceability.",stores clerk; production planner; quality technician,Pick kit; scan serials; quarantine substitutions; attach certificates; release first operation.,"Approved rolling-stock BOM, material certificates, software baseline",rolling_stock_bom:B1; rolling_stock_bom:B2; rolling_stock_bom:B3; rolling_stock_bom:B4; rolling_stock_bom:B5; rolling_stock_bom:T5; rolling_stock_bom:T6; rolling_stock_bom:T11; rolling_stock_bom:T18; rolling_stock_bom:E1; rolling_stock_bom:E2; rolling_stock_bom:E17,12,required,"released kit, trainset traveller, serial traceability sheet","kit checklist, certificates, traveller signoff",production planner,qa-10-carbody-structure,mosul:MOS-RS-L1-003:qa-10-carbody-structure,mosul:MOS-RS-L1-003:rs-10-material-kit:VERIFY,required,yes,planned,routine,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out."
mosul:MOS-SIG-008:wpt-10-cabinet-bench,mosul,MOS-SIG-008,station systems node line-1-0496-0506-s022046,signalling-comms,line-1,wpt-10-cabinet-bench,wayside-systems,10,wayside bench,3,fixed-days,template fixed duration = 3 day(s),,85,87,project_day_85,project_day_87,sys-00-baseline-freeze,mosul:MOS-SYS-001:sys-00-baseline-freeze,,Waypoint/W-SBC cabinet build and bench test,"Assemble cabinet, SBC, power supply, radio, sensors interface, beacon readers, identity, firmware, and cybersecurity keys.",systems technician; software technician; quality technician,Build cabinet; load firmware; bind identity; run IO/radio bench test; record serials.,"W-SBC cabinet kit, radio kit, sensor interface, signed firmware, key register",project_kit:wayside:wsbc-cabinet; project_kit:wayside:radio-kit; project_kit:wayside:sensor-interface; project_kit:wayside:beacon-reader; project_kit:wayside:secure-element,5,required,bench-accepted waypoint cabinet,"serial register, firmware hash, IO test, radio test, key ceremony record",systems QA lead,qa-26-wayside-comms-safety,mosul:MOS-SIG-008:qa-26-wayside-comms-safety,mosul:MOS-SIG-008:wpt-10-cabinet-bench:VERIFY,required,yes,planned,safety,"Wayside hardware, comms resilience, switch control, intrusion verdicts, passenger systems, and cybersecurity accepted before trial running."
mosul:MOS-ST-012:st-10-civil-structure,mosul,MOS-ST-012,line-2-1100-0681-s000000,station,line-2,st-10-civil-structure,stations,10,station civil crew,14,fixed-days,template fixed duration = 14 day(s),,92,105,project_day_92,project_day_105,trk-10-survey-utility,mosul:MOS-TRK-L2-001:trk-10-survey-utility,,"Station foundations, platform, canopy, and access structure","Build platform, foundations, canopy/roof frame, ramps/lifts/escalator allowances, drainage, earthing, and public access civil works.",station civil supervisor; steelwork lead; accessibility lead; quality technician,Set out station; build platform; erect canopy; inspect access routes; record dimensions.,"concrete, steel canopy kit, platform edge kit, drainage and earthing materials",project_kit:station:civil-concrete; project_kit:station:steel-canopy; project_kit:station:platform-edge; project_kit:station:accessibility; project_kit:station:drainage-earthing,5,required,station shell ready for MEP and passenger systems,"structural inspection, access checklist, as-built survey",station QA lead,qa-24-stations-depots-plant,mosul:MOS-ST-012:qa-24-stations-depots-plant,mosul:MOS-ST-012:st-10-civil-structure:VERIFY,required,yes,planned,attention,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening."
mosul:MOS-SW-015:sw-10-turnout-build,mosul,MOS-SW-015,sw-line-1-0120-0123-s034548-yd-13,switch,line-1,sw-10-turnout-build,track-civil,10,track/switch crew,5,fixed-days,template fixed duration = 5 day(s),,85,89,project_day_85,project_day_89,sys-00-baseline-freeze,mosul:MOS-SYS-001:sys-00-baseline-freeze,,"Switch kit build, actuator, and bench proof","Assemble turnout kit, actuator, detection, hand-crank provision, wiring, and bench proof before installation.",switch technician; track supervisor; quality technician,Assemble switch; install actuator; bench proof detection; record blade throw and torque.,"turnout kit, actuator, detection sensors, wiring kit",project_kit:switch:turnout-kit; project_kit:switch:actuator; project_kit:switch:detection-sensors; project_kit:switch:wiring-kit,4,required,bench-accepted switch kit ready for site,"bench proof record, actuator serial, detection test",track QA lead,qa-22-trackform-rail,mosul:MOS-SW-015:qa-22-trackform-rail,mosul:MOS-SW-015:sw-10-turnout-build:VERIFY,required,yes,planned,safety,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing."
mosul:MOS-TRK-L2-002:trk-20-subgrade-drainage,mosul,MOS-TRK-L2-002,line-2 section 002,track-section,line-2,trk-20-subgrade-drainage,track-civil,20,corridor civil crew,16,route-metres,ceil(3004.0 route m / (200 m/day x 1 resources)),1,247,262,project_day_247,project_day_262,trk-10-survey-utility,mosul:MOS-TRK-L2-002:trk-10-survey-utility,,"Subgrade, drainage, fencing, and foundations","Build formation, drainage, ducts, fence foundations, earthing points, and civil interfaces for track and wayside equipment.",civil supervisor; plant operator; drainage technician; quality technician,Prepare formation; install drainage; compact layers; inspect ducts; record as-built levels.,"aggregate, geotextile, ducting, drainage materials, fencing materials",project_kit:track-civil:aggregate; project_kit:track-civil:geotextile; project_kit:track-civil:ducting; project_kit:track-civil:drainage; project_kit:track-civil:fencing,5,required,accepted subgrade and drainage ready for trackform,"compaction results, level survey, drainage inspection, as-built photos",civil QA lead,qa-21-earthworks-drainage,mosul:MOS-TRK-L2-002:qa-21-earthworks-drainage,mosul:MOS-TRK-L2-002:trk-20-subgrade-drainage:VERIFY,required,yes,planned,attention,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation."
mosul:MOS-WPT-L1-010:wpt-10-cabinet-bench,mosul,MOS-WPT-L1-010,line-1 waypoint 010,waypoint,line-1,wpt-10-cabinet-bench,wayside-systems,10,wayside bench,3,fixed-days,template fixed duration = 3 day(s),,85,87,project_day_85,project_day_87,sys-00-baseline-freeze,mosul:MOS-SYS-001:sys-00-baseline-freeze,,Waypoint/W-SBC cabinet build and bench test,"Assemble cabinet, SBC, power supply, radio, sensors interface, beacon readers, identity, firmware, and cybersecurity keys.",systems technician; software technician; quality technician,Build cabinet; load firmware; bind identity; run IO/radio bench test; record serials.,"W-SBC cabinet kit, radio kit, sensor interface, signed firmware, key register",project_kit:wayside:wsbc-cabinet; project_kit:wayside:radio-kit; project_kit:wayside:sensor-interface; project_kit:wayside:beacon-reader; project_kit:wayside:secure-element,5,required,bench-accepted waypoint cabinet,"serial register, firmware hash, IO test, radio test, key ceremony record",systems QA lead,qa-26-wayside-comms-safety,mosul:MOS-WPT-L1-010:qa-26-wayside-comms-safety,mosul:MOS-WPT-L1-010:wpt-10-cabinet-bench:VERIFY,required,yes,planned,safety,"Wayside hardware, comms resilience, switch control, intrusion verdicts, passenger systems, and cybersecurity accepted before trial running."
mosul:MOS-EN-013:en-20-energy-commission,mosul,MOS-EN-013,energy site at line-2-0764-0775-s009034,energy,line-2,en-20-energy-commission,energy,20,energy crew,5,fixed-days,template fixed duration = 5 day(s),,91,95,project_day_91,project_day_95,en-10-energy-build,mosul:MOS-EN-013:en-10-energy-build,,Energy site commissioning and charger proof,"Commission PV, BESS, charger, protection, EMS/SCADA telemetry, load test, and train charging interface.",commissioning lead; electrical supervisor; software technician; quality technician,Run protection test; commission EMS; load test charger; prove train interface; sign handback.,"commissioning test script, SCADA/EMS config, charger interface, train or load bank",project_kit:energy:commissioning-tools; project_kit:energy:scada-ems-config; project_kit:energy:load-bank; project_kit:energy:charger-interface,4,required,energy site released for trial running,"commissioning report, load test, telemetry proof, handback certificate",commissioning manager,qa-25-power-energy,mosul:MOS-EN-013:qa-25-power-energy,mosul:MOS-EN-013:en-20-energy-commission:VERIFY,required,yes,planned,safety,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging."
mosul:MOS-RS-L1-002:rs-20-carbody-bogie,mosul,MOS-RS-L1-002,line-1 trainset 002,rolling-stock,line-1,rs-20-carbody-bogie,rolling-stock,20,rolling stock plant,12,fixed-days,template fixed duration = 12 day(s),,86,97,project_day_86,project_day_97,rs-10-material-kit,mosul:MOS-RS-L1-002:rs-10-material-kit,,"Carbody, bogie, wheelset, and brake build","Fabricate carbody modules, weld/bolt structural interfaces, assemble bogies, wheelsets, suspension, and electromagnetic brake assemblies.",fabrication lead; weld inspector; bogie technician; brake technician,Build structure; record dimensions; perform weld/NDT sample; assemble bogies; torque-mark safety fasteners.,"Carbody kit, bogie kit, wheelsets, brake actuators, weld procedure",rolling_stock_bom:B1; rolling_stock_bom:B2; rolling_stock_bom:B3; rolling_stock_bom:B4; rolling_stock_bom:B5; rolling_stock_bom:B22; rolling_stock_bom:B23; rolling_stock_bom:B26; rolling_stock_bom:B29; rolling_stock_bom:G1; rolling_stock_bom:G2; rolling_stock_bom:G3; rolling_stock_bom:G4; rolling_stock_bom:G5; rolling_stock_bom:G6; rolling_stock_bom:G7; rolling_stock_bom:G8; rolling_stock_bom:G9; rolling_stock_bom:G10; rolling_stock_bom:G11; rolling_stock_bom:G12; rolling_stock_bom:G13; rolling_stock_bom:G14; rolling_stock_bom:G15; rolling_stock_bom:G16; rolling_stock_bom:G17; rolling_stock_bom:G18; rolling_stock_bom:G19; rolling_stock_bom:G20,29,required,"accepted carbody shell, bogie set, brake subsystem","dimensional report, weld pack, NDT report, torque record",rolling-stock QA lead,qa-11-bogie-wheelset,mosul:MOS-RS-L1-002:qa-11-bogie-wheelset,mosul:MOS-RS-L1-002:rs-20-carbody-bogie:VERIFY,required,yes,planned,safety,"Bogie frame, wheelset, bearing, brake, and suspension records accepted before bogie marriage."
mosul:MOS-RS-L1-002:rs-23-moulded-body-modules,mosul,MOS-RS-L1-002,line-1 trainset 002,rolling-stock,line-1,rs-23-moulded-body-modules,rolling-stock,23,rolling stock composite moulding cell,5,fixed-days,template fixed duration = 5 day(s),,98,102,project_day_98,project_day_102,rs-20-carbody-bogie,mosul:MOS-RS-L1-002:rs-20-carbody-bogie,,Fabricate moulded one-metre glass-fibre body modules,"Use released 1 m side and roof moulds to fabricate 96 side and 48 roof GFRP modules for the three-car trainset: inspect moulds, apply release and gelcoat/paint-primer, lay up glass-fibre/core/solid clip lands, cure, demould, CNC trim door/window/roof variants, seal edges, fit inserts/clips/gaskets, and dry-fit to the master frame.",composite cell lead; laminator; trim technician; quality technician,"Release material batches; prepare moulds; lay up and cure modules; demould and inspect; CNC trim/drill; seal cut edges; fit inserts, retainers, and EPDM seals; complete master-frame dry fit.","GFRP fibre/resin/core/gelcoat kit, 1 m module moulds, trim/drill gauges, insert/clip kits, EPDM seals, witness coupons",rolling_stock_bom:B6; rolling_stock_bom:B7,2,required,numbered moulded side and roof module kits released for three-car body installation,"mould release record, laminate/cure record, witness coupons, CNC trim report, edge-seal record, insert pull-out lot, master-frame dry-fit report",rolling-stock QA lead,qa-10-carbody-structure,mosul:MOS-RS-L1-002:qa-10-carbody-structure,mosul:MOS-RS-L1-002:rs-23-moulded-body-modules:VERIFY,required,yes,planned,safety,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out."
mosul:MOS-RS-L1-002:rs-25-clip-on-body,mosul,MOS-RS-L1-002,line-1 trainset 002,rolling-stock,line-1,rs-25-clip-on-body,rolling-stock,25,rolling stock clip-on body cell,1,fixed-days,template fixed duration = 1 day(s),,103,103,project_day_103,project_day_103,rs-23-moulded-body-modules,mosul:MOS-RS-L1-002:rs-23-moulded-body-modules,,Install and release three-car clip-on fiberglass exterior body,"Six parallel two-person crews install 96 side and 48 roof modules on three painted, dimensionally released frames using keyed hooks, captive clips, anti-lift retainers, and dry EPDM seals; complete water and rattle release within one eight-hour shift.",body-cell lead; composite fitter; quality technician,Verify datums and kit revisions; fit dry seals; hang/latch modules; record witness map; water/rattle test; close snags.,"Released three-car frame set, numbered 1 m fiberglass modules, clip/retainer kits, EPDM seals, module map",rolling_stock_bom:B6; rolling_stock_bom:B7; rolling_stock_bom:B20; rolling_stock_bom:B28,4,required,three-car exterior body installed and released without production adhesive cure,"frame survey, module/clip witness map, clip proof status, water test, rattle check, eight-hour route record",rolling-stock QA lead,qa-10-carbody-structure,mosul:MOS-RS-L1-002:qa-10-carbody-structure,mosul:MOS-RS-L1-002:rs-25-clip-on-body:VERIFY,required,yes,planned,safety,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out."
mosul:MOS-SIG-006:wpt-20-install-commission,mosul,MOS-SIG-006,station systems node line-1-0579-0751-s015416,signalling-comms,line-1,wpt-20-install-commission,wayside-systems,20,wayside systems crew,4,fixed-days,template fixed duration = 4 day(s),,151,154,project_day_151,project_day_154,"wpt-10-cabinet-bench,trk-30-trackform-rail",mosul:MOS-SIG-006:wpt-10-cabinet-bench; mosul:MOS-TRK-L1-005:trk-30-trackform-rail,,"Waypoint/W-SBC install, coverage, and proof test","Install the waypoint node, connect power/network/sensors, test radio coverage, prove section state messages, and release into integrated trial running.",systems supervisor; radio technician; software technician; quality technician,Mount cabinet; terminate cables; verify coverage; run section-state proof; close cyber checklist.,"bench-accepted cabinet, power feed, comms link, sensor kit, test script",project_kit:wayside:power-feed; project_kit:wayside:comms-link; project_kit:wayside:sensor-kit; project_kit:wayside:mounting-hardware,4,required,commissioned waypoint node ready for trial running,"coverage map, section-state proof, cyber checklist, commissioning certificate",systems QA lead,qa-26-wayside-comms-safety,mosul:MOS-SIG-006:qa-26-wayside-comms-safety,mosul:MOS-SIG-006:wpt-20-install-commission:VERIFY,required,yes,planned,safety,"Wayside hardware, comms resilience, switch control, intrusion verdicts, passenger systems, and cybersecurity accepted before trial running."
mosul:MOS-ST-011:st-20-mep-passenger-systems,mosul,MOS-ST-011,line-1-0120-0123-s034548,station,line-1,st-20-mep-passenger-systems,stations,20,station systems crew,10,fixed-days,template fixed duration = 10 day(s),,102,111,project_day_102,project_day_111,st-10-civil-structure,mosul:MOS-ST-011:st-10-civil-structure,,"Station MEP, passenger systems, fare, and safety fit-out","Install lighting, power, earthing, CCTV, PA/PIS, fare equipment, emergency devices, wayfinding, and local network cabinets.",electrical supervisor; systems technician; fare-system technician; quality technician,Install MEP; terminate cabinets; configure devices; test passenger systems; close punch list.,"electrical kit, network cabinet, PIS/PA/CCTV kit, fare kit, signage kit",project_kit:station:electrical-mep; project_kit:station:network-cabinet; project_kit:station:pis-pa-cctv; project_kit:station:fare-kit; project_kit:station:signage,5,required,station ready for integrated commissioning,"MEP test sheet, device register, fare/PIS test, fire/life-safety checklist",station QA lead,qa-24-stations-depots-plant,mosul:MOS-ST-011:qa-24-stations-depots-plant,mosul:MOS-ST-011:st-20-mep-passenger-systems:VERIFY,required,yes,planned,safety,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening."
mosul:MOS-SW-013:sw-20-install-proof,mosul,MOS-SW-013,sw-line-1-0120-0123-s034548-yd-11,switch,line-1,sw-20-install-proof,track-civil,20,track/switch crew,4,fixed-days,template fixed duration = 4 day(s),,254,257,project_day_254,project_day_257,"sw-10-turnout-build,trk-30-trackform-rail",mosul:MOS-SW-013:sw-10-turnout-build; mosul:MOS-TRK-L1-010:trk-30-trackform-rail,,"Switch installation, geometry, detection, and route proof","Install switch, prove geometry, detection, hand operation, route locking interface, drainage, and safe return-to-track.",switch technician; survey technician; systems technician; quality technician,Install turnout; align geometry; prove detection; run route proof; upload as-built.,"bench-accepted switch kit, ballast/slab materials, cabling, test script",project_kit:switch:site-trackform; project_kit:switch:cabling; project_kit:switch:route-proof-kit; project_kit:switch:as-built-survey,4,required,commissioned switch ready for integrated trial,"geometry report, detection proof, route proof, as-built record",commissioning manager,qa-22-trackform-rail,mosul:MOS-SW-013:qa-22-trackform-rail,mosul:MOS-SW-013:sw-20-install-proof:VERIFY,required,yes,planned,safety,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing."
mosul:MOS-TRK-L2-004:trk-10-survey-utility,mosul,MOS-TRK-L2-004,line-2 section 004,track-section,line-2,trk-10-survey-utility,track-civil,10,corridor civil crew,2,route-metres,ceil(1734.0 route m / (1000 m/day x 1 resources)),1,98,99,project_day_98,project_day_99,sys-00-baseline-freeze,mosul:MOS-SYS-001:sys-00-baseline-freeze,,"Track section survey, permits, utilities, and access release","Confirm alignment, utility clashes, drainage path, traffic/access plan, laydown, and safe-work boundary for the section.",survey lead; civil supervisor; permit coordinator; safety officer,Set out control; mark utilities; confirm access; brief crew; upload permits.,"route survey, utility maps, traffic plan, possession plan",project_kit:track-civil:survey-control; project_kit:track-civil:utility-clearance; project_kit:track-civil:site-access,3,required,released section ready for civils,"survey control sheet, utility clearance, permit pack",civil QA lead,qa-20-survey-geotech,mosul:MOS-TRK-L2-004:qa-20-survey-geotech,mosul:MOS-TRK-L2-004:trk-10-survey-utility:VERIFY,required,yes,planned,safety,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction."
